clean_message,label
imran khan ke lye bahut acha hoga,Positive
market maker,Neutral
bohut achay kamal ki sharing hai peer o murshid ki asliat ahista ahista khul kr samne aa rahi hai very good,Positive
pmln tarha videos bna ecp or media pr dan,Negative
khoty wapis ly ap lundan dwai leany gia,Negative
ab se 1st buying ki limit direct laga deny ha,Positive
uffffffffffffffff imran abbas mri jan kya baat ha aap ki,Positive
hani bilal bhai ko kha tha analysis share kro coin ka to is ne share kia tha bhai ko phr ak gift dia jis ki original price 499 thi,Positive
shorthand ka name suna ha,Neutral
dramain dekh dekh k aap bhi writer ban gai ho,Positive
wo zinda ta ye jail log usko dafna ray ty bechary ko,Negative
gawadar kha hai,Neutral
ap btayn kitnaa prh lia,Neutral
randi hai behen chod ki bachi,Negative
absolutely ri8 mishal py ilzam lagy ga b to kya hoga saba ne khud jani se number liya tha aur ha hi wo jhooti,Negative
lagi hy ap sab ki,Neutral
kisi jga,Neutral
recording ko rekaarding office ko aafice kehne wale ganwaar jahil log itne bare bare ohdo par sirf pakistan me hi paaey jate hen,Negative
shub shub bolo,Positive
code bhi ho gya,Positive
yar pakistani movies b itni ache ho gai hn yaqeen nahi a rha,Negative
teray under say kesay zameen nikli admin,Negative
tujy pmln nay sirf p bhonkny rakha or b kam tera kutia,Negative
mary pas ye mob hai htc 620 good or achi halat me,Positive
aby kanjari k bchy apny baap zia ul haq ska so tm jahil chutia patwario hoga meri jan aqal hath marro khota khour banu,Negative
tm b shukr kro k main tmribst frnd hu,Positive
tu bta leni hy ya nahi,Neutral
buhat a chy g,Positive
acha kehti gun kamini,Negative
wese bracelet achi thi,Positive
tu edited vdideo status lga phly,Neutral
lakh d laanat,Negative
pmln punjabi mqm,Negative
baaki bounces ka bata day kiya plan his,Neutral
anmol khazana kya hain pl bata dain,Neutral
a bhi old book sy kr rhi,Neutral
maryam nawaz kai link awam kai samny rakh deya kai pmln aor ppp govg mai delegation israel visit link counter karny ye madam article likh rahy izzat aor zellat allah deta,Negative
wo to thora sa kam tha bs,Neutral
environment set krna tha,Neutral
asslamu alikum im online quran pak teacher if anyone wants to read online quran pak then please contact me,Neutral
leken inka option dex par zayda nahe ara,Negative
tension hi na le meri jan,Positive
shayad ambient light zyada thi aur ir rays pohanch nahi paye remote k,Neutral
papers k bad acha time mily ga kafi hmyn,Positive
dil krta hy eysy logo ko chowk me ulta ltka dey,Negative
kya chal raha,Neutral
haan baat to theek hai tum bhains kay agay been naa hi bajao to achha hai,Positive
yaha rickshaw wly kaminy,Negative
ducky bhai is a great bleaching,Negative
decision lia acha tm ny,Positive
jubiii too rangars ko nhi la jataa,Neutral
tbhi khti person sy fursat mlti to kxh krty,Negative
na ho prshan,Positive
is dfa wo mam ni thin,Neutral
mn to wo dekha hi ni,Neutral
ppp walo ne halat ki hai iski ye kal rat wale halat me,Negative
ustad kabhi dhandli nhi mr,Negative
pehli 1944 mein singer patty palmer se aur dosri 1983 mein 32 sala dancer sandy pat nick ke sath ki jab wo 65 baras ke the,Neutral
bhi jan scalping ke liye ap ko maximum 1year ka market experience chahiye ap ko pata hoga ky yaha traping hogi tabi ap scalp krogy,Neutral
ayashi bata b jeta chori ke kmai jwan hwa zuban b choron wali he boly kbhi baap poch kidhr aya paisa pmln choron tola qabr me hisab lay ge ye awam fikr kro,Negative
pmln zinda bad markazi tarjman maryam aurangzaib markazi general seceratary ch ahsan iqbal shair e shahdara ch wahid,Neutral
phir bhi,Neutral
zinda bhi hy ke nahi haha,Neutral
jis mien wo bollywood ke fankaron se interview kiya karte the,Neutral
kb buy keya,Neutral
meer kela kha gaya,Neutral
yeh aik kat putli show tha jis ke kirdar uncle sargam heega aur masi musibtey aaj bhi logon ke zehno mein zinda hain,Positive
fucked up lg ra,Negative
originally posted by pti scientist allah apko aor baki tamam shurkaaaaa ko apnay hifzoamaan main rakhay aor khan sahab ko kamyabi ata karay ameen,Positive
analyst hoty mostly,Neutral
aj phir isi liy door rha a,Neutral
yaad aaya kuch,Neutral
bht sharmindagi n league,Negative
mujy to abi wo loops wagera samjhny b hynbs abi copy paste kiya but samjhny hyn lazmi,Neutral
lanat hai kanjron pe,Negative
loge sayi kata hain ducky bhai ges sa bhi milta hain aus ka tu program war gata hain,Negative
ap jesey lifafey loton pegham k ksi trah pmln me entry jaye ghr tk rasta me khud bna lun k mera izat gherat taluq k me apni grace maintain krun ksi b level pr utar maryam ami bnna he bass,Negative
barthday mubarak ho sr,Positive
nashy m hy officers black sheep saly haqeeqat m ya sb sy bari mafia hy media ki tarah well after all iqrar bhai doing great work stay blessed,Negative
sahi khel gaey,Negative
tmny kra li ha,Neutral
anti sab ty paari,Negative
koi shaq nahi skill nam ki koi cheese nahi hy,Negative
my mobil num 03009684207malik tanveer,Neutral
pakistan bar council pmln or pppp k pakistan bar council k member hon pher esa he,Negative
last eid achi thi mosm acha tha,Positive
tu bta day,Neutral
hakeem sb marhim ka nam kya h as key kamat katni h j,Negative
lant imran khahn ko,Negative
bahut shukrya sir,Positive
driver in photographers se bachne ke leye hi gari ki rafter barhata chala gaya lekin bad mein ye khayal ghalat sabit ho gaya,Negative
ha koshish krta ho fresh mind ho phir krta ho 2 din deekhta ho,Neutral
apny pas hi rkho fresh take,Positive
namaz done,Positive
mehboob ko barhe muhazzib andaaz mein bad duaaeyn dene wale is munfarid geet ko saifuddin saif ne likha tha aur yeh geet santosh kumar par filmaya gaya tha,Positive
13 december 1988 ko ghulam ishaq khan baqaidah aur ba ikhteyar sadar e mumlikat ban gaye,Neutral
is awaaz ki kashish inhe kasha kasha sath wale ghar le gai jahan 2 bachiyan apne ustaad se gana seekh rahi thin,Positive
y lo betaa tm,Neutral
larkion walay,Neutral
mulk dushman agencies najahiz daramebaz jooooker comedian olad pmln mulk dushmani ma pesh pesh khod bahana bana london tera pkistani qooom per seyasat chata chor najahiz olad army our proud,Negative
allah muaaf kry agr pti b pmln trha brbaad krni he nani pti men involve lo,Negative
ispr try leni chiy thi hmai,Neutral
zainab ali,Neutral
chlo tm free ho lo,Positive
inshallah din door nahi jab corruption gali darja hasil ur corrupt dalay zinda bad,Negative
han na,Neutral
and ek dfa jb tm class mn ro ri thi,Negative
best mobule hai zero 4 is say acha mobile ma nay nahi deekha mari saei family ya he use karti ha,Positive
kinza k sath bhi galat ho raha hai usy ab arsal ko chor kar sherry pe focuse krna chahiye ta k jiya or arsal ek ho saky or sheerry or kinza,Negative
ummat zinda laash ban gayi hai hum sab apni bari ka intezar kar rahein hain,Negative
walikum asalam,Neutral
nahi yar 2 or 3,Neutral
main haal hi main perh likh ker aalim faazil hui hoon lekin ye nahin bataon gi kay kiya perha lakin ha faida mand ab kuchh arsay tak sirf rest kerna chahti hoon,Negative
buht he aala nice set he,Positive
link bej saktay ho,Neutral
a ja lene phir,Neutral
hazir hr time,Positive
jesy wo mery sath attach ho gy ha,Neutral
bcz usny chorna hi tha na,Negative
wo hbi classification ka ha,Neutral
buht buht shukriya aap ka mam,Positive
khas logo ky liy to nikal hi skta na,Positive
only mqm is future of pakistan plz vote for mqm inshallah agla wazire azam mqm ka ho ga,Positive
j a bhutto pppppppppppppppp,Neutral
done bestii karni ha pmln pti,Negative
ager ham dhandhli per qabu pa laen to noorey apni maut khud mer jaen gae yelog awam k passey sae media ko apney mutalaq istemal kertey haen aur jooti shohrat hasil ker rahae haen ab logon per in ki haqeeqat zahir ho rahee ha is k bad sarey patwari khud in ko chodr daen gae,Negative
real diamond hy ya,Neutral
bht ajeb sa lgta,Negative
september ko rukeni kabina ne apne uhde ka halaf uthaya jin mein porane aur naye chere shamil the,Positive
batatay nahin sir dua kamiyabe batterness,Positive
shehar k mukhtalif elaqay main aik baar phr teesra bara bijli ka break down 70 shehar tarekhi me doob gaya,Negative
agar aisa aj ppp or pmln wujood professor,Neutral
meri taraf se sb ko congrats,Positive
my ny darakhy ka pocha hy jugnu ka nahi,Neutral
hmm ye reality hy,Neutral
dopata to sir p orhty ramzan ka ahtaram krna chaie,Negative
essa ho next 2 days me double top bne then crash,Negative
o bhai tumhri post par gandi link dt hai kisi ny ude delete kro,Negative
pahle koi bola ni jab show pora dekh liya phr mirche lag gai,Negative
ho jaega easy hy,Positive
arsal lagta toh nhii tha itna actor is drame mai kamal ki acting ki haiisne,Positive
shahzada bai ap hi win karo gy,Positive
ibrahim ismail chundrigar 1955 56 mein wazeer e azam chaudhry muhammed ali ki markazi kabeena mein wazeer e qanoon rahe aur 1956 ke aaiyn ka masooda tayyar kiya,Neutral
ok for a short while,Neutral
nahe dear,Neutral
koi sharam koi haya nahi in beghairton mei bus baag baag k trip kiye jao or airport parr koi lenay bhi nahi aaya magar ye khush hain ya allah is qoum ko hidayat atta farma,Negative
jis bt pr tafif hu apny khaty jis pr galin govt k khaty,Negative
pata un sab propaganda election chori kia khlai mkhulq kon bla bla lerwane ke liey log,Negative
bijly kisi bhee mulk ki bunyadi zaroorat ha is lya is ki padawar ko bharna ky lya hakoomat ko musbat iqdam kernay chahyan,Negative
agg laga dream ko,Negative
shukar sc tareekhi faisla diya weldon sc achy kamo per ap tareef b r danky k chot per good step yh wahan kaly coat waly qabza jmaye bethy in m akser patwari pmln ky r proof m dy sakta mera ek rishatadar b wahan qabza group m h,Negative
or us mn kia hota,Neutral
excellent work bhai hum log ap ke sath hain,Positive
such as,Neutral
late night outing or long drive,Positive
disagreed jub shahrukh khan 50 ki age main depika k sath hero aasakta hai tou adnan tou abhi 40 plus ka hai or sharukh se ziada gracefull hai or itna over age bhi nahi lag raha sarwet k sath age na dekho iski acting,Negative
all the police off pakistan spcly punjab sorry to sy mafia mafia mafia big mafia i hate it hm log apni hifazat kar sakty hmy police ni chahye,Negative
iqrar hassan well done allah ap ke hifazat kary apinsaniat ke leye kam kar rahe,Positive
imran sab hat jao pondi krna shdi krwa lo,Positive
profit ky sath loss b until yad hona chahiye,Neutral
yani is bar ka crash normal ay ga,Neutral
or karna b kaya in no,Negative
nahi bhai counting shro hoti lihaz pmln patwari pehlay number per howe,Negative
walid ki phansi ke bad sikander ali shah ko in ke chote bhai aur khandan ke deegar afraad ke sath kuch arsey bandar road ma jinnah road ke aik bungalow mein nazar band rakha gaya aur wahan se aligarh muntaqil kar diya gaya,Negative
desi marlin manro,Neutral
unhen kamiyab karane ke leye panjab aur sindh ke wozra e aala ne do mehfooz tareen nashistein khali karaein thein aur unhen kamiyab karane ki zimedari qabol kit hi,Positive
afia jetna arsa gaub rahi us ka bachy sath they us ka bara beta taqreban 12 saal ka hy by us ka koi interview q ni aya hy,Negative
nope coz me mutton nh khata to khota b nh khaya hga,Neutral
siasat ni ati laaaaaak di laaaaaanat kanjro,Negative
amazing yar loved this video,Positive
overall sentiment change ho gye hyn market ky sirf 1 bndy ki waja sy,Negative
12 rabi ul awal eid e milad un nabi jumerat 24 december ko ho gi,Positive
kis ka hy,Neutral
karni tou nh chahiyebut bia ko cheat kiya gay hzaror jaey gi,Negative
yar mujhy uljhan hoti un se,Negative
tere sath lgta suno chanda season 3 hona hai iywim d,Neutral
madari saray bc,Negative
tiger jesa dill ha is iqraar ka allah is ki hifazat karaaaa,Positive
iqrar bhai sab ko geraftar karwa dy,Neutral
ye wla to ho gi easy tha,Positive
shame on u yai ap ki karstani hai,Negative
zahir hy agr kisi ko dekha hua na ho to hm usy imagine kesy kr skty,Neutral
haha kesy kryn gy,Neutral
ws bro,Neutral
in sub qawaneen ki khilaf warziyan tu imran roxana karta rehta hay,Negative
in haram khoron ny na merit dekha na taleem apny har baap beti ko bharty kr liya or hm kae saloon sy waheen bethy he koi promotion nai or ye kamina khud meter reader sy mna bn gya,Negative
lakh di lanat inna jamman alay te,Negative
or bat leader mera leader nae apna leader khd ghalat hoga usko ghalat kahen chay pti pmln,Negative
hasna thaw,Negative
tm s km,Neutral
phidi dea waday tusa b bry kia nhi aya london charsia tera bap,Negative
ye na ho begum hath lgay person free ho jy,Neutral
aap ne haal he mein aik title song gaya hai kya pehle se ganey ka shauq tha ya aaj kal jo actresses mein gane ka daur chal parha hai use dekh kar aap bhi meydan mein kood parhe,Neutral
agr pmln ur jui waqii koye tehreek govt py pressure dalna chahtay es hr cheez bicot k islamabad jaam lie,Negative
aho sahi bt h,Positive
lakin age na nazar aye dua yahi hy,Positive
kehnda nahi kisi nu,Negative
aap ko phir buhat ghussa ayya k ye jo teacher party hai wo bachoon ko ghalat ratte marne ki training de rahe hain,Negative
wese twitter pe nazar a rhe hain twitter ki ronaq dobala ha,Negative
daily sirf aik isi drama ka intezar rehta h,Positive
well down ary well down team,Positive
i have never seen such brave person iqrar ul hasan keep it up your efforts and inshallah you will change the thoughts of young generation may allah help you,Positive
ary good nice nice,Positive
nawaz bahgura kb ahye ihsaq dar chor vote dahlny nahi ahye,Negative
pmln leader ahsan iqbal arrest by nab headlines pm december dunyanews,Neutral
bde bde dr aisa galeez kaam krenge to kya hoga allah apni panah me rkhe ar galti krne walon ko zaroor sakht saza mile,Negative
bhi wo kally,Neutral
allah sub ko hidayat day,Positive
tm khud wle pe hme kyo tag kr di ho sali,Negative
koi dekhy to hamen bol kon raha hy d jin pr tars kha k hm dua kr rhy thy k ye bhi 24 match jeet jayn bechary,Negative
kabul mein app ne bharti safarat khane ke sath gahre taluqat qaim rakhe,Positive
allah aisy police walo ko tabbah kray gandy ghtya log,Negative
pmln k tarqiyati kaam wha jis aj tk izzat h h sir mushraf log aj b khty h aj tk jitny kam houy unho kiy baqio fund khay h,Neutral
ooo wow,Positive
hmai bi pta hona chiy na,Neutral
abdullah tumahara waqat pura hogya h,Negative
brave reporting,Positive
agle britsh open mein aik martaba phir mamoon bhanjey amne samne they,Neutral
mian shahbaz sharif nay punjab kay aisey school kay khilaf bhi iqdamat uthaye jo hurf e aam mein bhoot school kehlatay thay yani wasail istamal kartay rahay magar wahan asataza teachers nahi hote ya sarey say school hi nahi hota,Negative
ya seen b hona tha,Negative
anonymous function reh gya wo kru gi thori dair tk,Neutral
manafaq kase hoty kisi deikhna tm deikh ly kal pmln ky leader ky sath ju houa os pr bilkul khamosh manafaq lanati,Negative
han aisa he hua tha or trade bhi ziyada achi nhi thi upper se btc ne kam kardiya,Negative
rona band karu adalat ju mang rahe hae dedu bat khatam hukumat bap b nahe karega,Negative
sirf sahir lodhi hi kion nida yasir ne b apne show main nach gane ka programme raka hai,Negative
aslamalikum allah ap lambi zindge ata ameeeeen,Positive
1030 pr milnà tha,Neutral
sarson ka saag or makai ki roti ki mai ne boht tareef suni hai lekin ye hyderabad city me pure sarson saag kahan mile ga mai gaon nahi gya kabhi na mujhe koi maloomat hain koi mangwa sakta hai to mujhe mangwa ke dede hum bhi enjoy karlen ge desi cheezen,Positive
phir bhar mein jaye ye,Negative
asalamualikum jinab kay aap aj kal jamat tableeg kay saath jatay ho mashaaallah nazar na lagay lalaa ko,Positive
ya allah sukh wala zindge ka sathi naseeb frma,Negative
syntax chamge hota languages ma just,Neutral
khan apko meri umer lag jai,Positive
han g agaye,Neutral
inhe bachpan se he singing ka shauq tha,Positive
ye sb kia chl rha,Neutral
hahabut eid sy related cooking mn mujy kuch b nai atamama krtien sb,Neutral
or krni b chahye,Positive
nae pagal ho kiya kabi b ne,Negative
kiya tha,Neutral
yar discunt ky nam per dhokha hi koi dicunt nen tplink 840nd market price 1350 ruppes hi yahan 5000 hzar kh kr disunt dy kar 2800 duble ki pemint per single dy rhy hin drazpk ka mear khrab ho rha hi is ka koi hal nkalen,Negative
agar pti election campaign achay tareeqay se kar gai tu phir inshallah hum jeetien gey,Positive
r tum k agy letoo k sahary chl rhi h pmln laanat time pm rehny waly jmaat ye halat hu h k almaroof dzl k sahary chl rhi kmaal dia sary dacu akathy diy,Negative
138 tamam pmln meri taraf bohat mubarak elections jeetne khushi mai,Positive
your emojis say raju ban gentleman,Negative
pore lelo bhi,Neutral
mera khayal hai ke 40 50 serials to kiye honge,Neutral
plz ubqari barkat wali theli ka amal bata dain,Neutral
kia kal likhna zarori tha ya kabhi bhi lkh skty,Neutral
hum dono k pas hum dono hain naw jaani,Positive
bht bri film ha,Positive
yeh ghari mashaallah bari achi lagi hai iska leather strap iskay dial ka colour aur wazzan sab se mein mutmaeen hoon is se behtar ghari is price mein naheen hai,Positive
ghusaa ku,Negative
v2 is great,Positive
jo use kry thy,Neutral
lekin jis kaam ko hangami bunyadon par karne ki zarorat thi wo 1979 mein nafiz keye jane wale hodod o qawanin par nazar e sani bhi thi,Positive
kha k itna maza ni aya tha jitna dekh k aya ha,Negative
inshaallah form next week,Neutral
nai acha hua mjhy idea ho gia,Positive
sir just apk logu q nazar aaa h orrrrr jhoot bolny waly per allah lanat aik jeet k liy itna drama ppp orr pmln aik ee thali k chatty bhhatty,Negative
accident ka,Negative
karachi main jo ho rha hai wo ghalat hai govt ko chaye k is pa foran action lai yha pai urdu speaking ko zaida tar target killing ka nishana banya ja raha hai main ap sa appel karta hon k khuda k lia pak govt ki tajwa is iham isue pa dalwye or karachi main aman kaim karan faqat ek acha sheri,Negative
fair pm ban mery bachay,Negative
sirf 11 sal ki umer mein hashim ko aik sadme se dochar hona para tha jeb unke walid sarak ke aik hadse mein helak hue they,Negative
hollywood nagri mein jin adakaron ne ghair mamoli shohrat hasil ki un mein aik naam angelina jolie ka bhi hai,Neutral
muje nahi ho rha show pic send kro,Negative
sub kou aundar kero,Negative
hazrat ed me namaz mastoorat nay parhnay jana sahe hay,Positive
jaaaa chawalee bus chawalan marnian,Negative
q ap r ganda ri hin pmln phly unka bht bura hal h,Negative
peechy saary maa yavy aunty uncle k mazy ly ry hain,Positive
elma apko marna nahi tha very nice drama boht acha hai,Positive
yahee strong psychology hai,Positive
kiu kya hua,Neutral
alhamdulilah cast vote for hafiz,Neutral
really nice no doubt hard work always pay you back you and your team is amazing 3,Positive
ma iphones sy hate kerta hon is ki poor batteries ki wajha sy inki battery half din se ziyada nai chalti din mai 3 bar charge karna parta hai,Negative
is k istmal se time both waste hota hai,Negative
mn to hug krky lytu gi to suba tk ap usi jaduu mn rhyn gy,Positive
math ka paper,Neutral
vaat lagi phir ap madam delete kerwa detin ye net ap sad chslin ap start jain k khilaf,Negative
ye lagta us ne tujhy send kiya ho ga,Neutral
aap ki himmat ko salam,Positive
mujrima chorni k bacchon k bacchon,Neutral
pakistan ko mr nawaz sharif aur mr shahbaz sharif jayse achey muhebe watan ki zaroorat hai kiun k pakistan iss waqat tabahi k dhane pe khara hai iss ko mazboot hathun ki zarorat hai na k iss mulak ko dabone ki khuda pakistan ko hamesha sar buland rakhe ameen,Positive
aap sy yhi umeed ki ja skti hy 1 1st class sahafi ko iqbal ki birth day k liey koi our alfaz na mi sky,Negative
muhammad rafiq tarar ne nawaz sharif ki jila watni tak bara aham kardar ada kiya,Negative
operation kisi party k khilaf nahi mujrimo k khilaf hai,Positive
esa kya deekha ja raha hy,Neutral
ajib hai,Negative
lakh lanat en par begerat kmeny,Negative
sary do no,Negative
specifications theek hai,Positive
chon ke is ijlaas mein hindustan bhar ke aeham muslim league ke rehnumao ne shirkat kit hi,Neutral
abe use laga person wale hain,Negative
in sab ko aag lgaehi,Negative
bilkul telh hath hola rakhtay pmln ppp interview ke sath nhi or he kisi darta he a clean man he have nothing hide,Negative
acha guzr gia,Positive
ab vnc viewer open krai aur ye settings karai note password ab nahi dlana wo baad mai mangay ga ab daal bhi nahi skthe edit nahi hoga yaha se fazool ha sab,Negative
allah khair kryga,Positive
whi msgs ay huy,Neutral
arey muslim lerkon ko ache din dikhao na hindu lerki deykerunko yeh yogi jesa dead women rpist advocter kiyoon dikha rahe ho originally posted by nepali yogi ji hazzamo ke fayade ki bat soch rahe hai lekin pakistani hazzam befaltu me pareshan hai,Negative
may b monday nhi ai new epi,Neutral
lanat hai is dr par,Negative
thk ns,Positive
really awesome,Positive
ky grouo a wly bht tez bch kr rho in sy,Negative
pmln key lafifa jurnalist waqith kader they jes waqith nawaz chor dako killer mafia ney qadri seb hang khia,Negative
mn to start sy add kra rha,Neutral
subhan allah,Positive
nhiiiii mujhey already loki pasand hai,Positive
khaas taur par bachon ke muaamle mein,Negative
yahi throat problem,Negative
bohut acchi site he men yahan cheif hun,Positive
1969 mein unhon ne apni amli zindagi ka aghaz karachi mein city bank mein mulazimat se kia 1975 mein un ki taenati beron e mulik kar di gai,Neutral
